idade;faixa_idade;genero;cor/raca/etnia;pcd;estado_onde_mora;uf_onde_mora;nivel_ensino;area_formacao;situacao_atual_trabalho;setor;gestor;cargo_gestor;cargo_atual;nivel;faixa_salarial;experiencia_dados;participou_entrevista;forma_de_trabalho#0;linguagem_mais_utiliza;linguagem_mais_gosta;referencia
31;30-34;Masculino;Parda;Não;Paraíba (PB);PB;Doutorado ou Phd;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;TRUE;Supervisor/Coordenador;;;de R$ 12.001/mês a R$ 16.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
29;25-29;Masculino;Branca;Não;Mato Grosso (MT);MT;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Servidor Público;Setor Público;TRUE;Team Leader/Tech Leader;;;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
28;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Finanças ou Bancos;FALSE;;Analista de Dados/Data Analyst;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Outras Engenharias;Empregado (CLT);Área da Saúde;TRUE;Gerente/Head;;;de R$ 20.001/mês a R$ 25.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Outra Opção;TRUE;Supervisor/Coordenador;;;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% presencial;;;2022
26;25-29;Masculino;Branca;Não;Paraná (PR);PR;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor Farmaceutico;FALSE;;Product Manager/ Product Owner (PM/APM/DPM/GPM/PO);Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
46;45-49;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
34;30-34;Masculino;Parda;Não;São Paulo (SP);SP;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Tecnologia/Fábrica de Software;TRUE;Supervisor/Coordenador;;;de R$ 16.001/mês a R$ 20.000/mês;Mais de 10 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
27;25-29;Feminino;Parda;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Finanças ou Bancos;FALSE;;Cientista de Dados/Data Scientist;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
25;25-29;Feminino;Parda;Não;São Paulo (SP);SP;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;FALSE;;Outra Opção;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Não tenho experiência na área de dados;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% presencial;Não utiliza programação;Python;2022
27;25-29;Feminino;Preta;Não;Espírito Santo (ES);ES;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor de Energia;FALSE;;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Júnior;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido com dias fixos de trabalho presencial;;;2022
24;22-24;Feminino;Parda;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;;;;;;;;;2022
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Varejo;FALSE;;Cientista de Dados/Data Scientist;Júnior;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
26;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Finanças ou Bancos;FALSE;;Analista de Dados/Data Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% presencial;;;2022
27;25-29;Masculino;Parda;Não;Paraná (PR);PR;Pós-graduação;Outras Engenharias;Empregado (CLT);Área da Saúde;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido com dias fixos de trabalho presencial;;;2022
29;25-29;Masculino;Preta;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Analista de BI/BI Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Finanças ou Bancos;FALSE;;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido com dias fixos de trabalho presencial;;;2022
24;22-24;Feminino;Branca;Não;Distrito Federal (DF);DF;Graduação/Bacharelado;Marketing / Publicidade / Comunicação / Jornalismo;Desempregado, buscando recolocação;;;;;;;;;;;;2022
25;25-29;Masculino;Branca;Não;Paraná (PR);PR;Estudante de Graduação;Outras Engenharias;Estagiário;Marketing;FALSE;;Analista de BI/BI Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Seguros ou Previdência;FALSE;;Analista de Negócios/Business Analyst;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
26;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
31;30-34;Masculino;Preta;Não;Rio Grande do Sul (RS);RS;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Área da Saúde;FALSE;;Cientista de Dados/Data Scientist;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo 100% remoto;;;2022
32;30-34;Masculino;Parda;Não;Bahia (BA);BA;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;;;;;;;;;2022
40;40-44;Feminino;Parda;Não;Bahia (BA);BA;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Servidor Público;Setor Público;FALSE;;Analista de Suporte/Analista Técnico;Pleno;de R$ 3.001/mês a R$ 4.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
29;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
35;35-39;Masculino;Parda;Não;Rio Grande do Sul (RS);RS;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Indústria;TRUE;Supervisor/Coordenador;;;de R$ 4.001/mês a R$ 6.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor Imobiliário/ Construção Civil;TRUE;Team Leader/Tech Leader;;;de R$ 20.001/mês a R$ 25.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
18;17-21;Masculino;Parda;Não;Paraná (PR);PR;Não tenho graduação formal;;Prefiro não informar;Outra Opção;FALSE;;Outra Opção;Júnior;Menos de R$ 1.000/mês;Não tenho experiência na área de dados;Sim, fui aprovado e mudei de emprego;Modelo 100% presencial;Não utiliza programação;Python;2022
29;25-29;Masculino;Branca;Não;Distrito Federal (DF);DF;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor Público;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 6.001/mês a R$ 8.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% presencial;;;2022
24;22-24;Masculino;Preta;Não;São Paulo (SP);SP;Estudante de Graduação;Química / Física;Estagiário;Marketing;FALSE;;Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
24;22-24;Masculino;Prefiro não informar;Não;Rio de Janeiro (RJ);RJ;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Engenheiro de Machine Learning/ML Engineer;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Menos de 1 ano;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
46;45-49;Masculino;Branca;Não;Paraná (PR);PR;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Outra Opção;TRUE;Supervisor/Coordenador;;;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
29;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Sim, fui aprovado e mudei de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
30;30-34;Feminino;Branca;Não;Paraíba (PB);PB;Graduação/Bacharelado;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Agronegócios;FALSE;;Cientista de Dados/Data Scientist;Júnior;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
37;35-39;Feminino;Branca;Não;;;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Finanças ou Bancos;FALSE;;Cientista de Dados/Data Scientist;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% remoto;;;2022
28;25-29;Masculino;Branca;Não;Mato Grosso do Sul (MS);MS;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;FALSE;;Engenheiro de Machine Learning/ML Engineer;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
40;40-44;Masculino;Branca;Não;Paraíba (PB);PB;Pós-graduação;Outras Engenharias;Empregado (CLT);Área de Consultoria;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
28;25-29;Masculino;Parda;Não;São Paulo (SP);SP;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;FALSE;;Cientista de Dados/Data Scientist;Júnior;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
