idade;faixa_idade;genero;cor/raca/etnia;pcd;estado_onde_mora;uf_onde_mora;nivel_ensino;area_formacao;situacao_atual_trabalho;setor;gestor;cargo_gestor;cargo_atual;nivel;faixa_salarial;experiencia_dados;participou_entrevista;forma_de_trabalho#0;linguagem_mais_utiliza;linguagem_mais_gosta;referencia
31;30-34;Feminino;Branca;Não;São Paulo (SP);SP;Mestrado;Outras Engenharias;Empregado (CLT);Setor Alimentício;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
46;45-49;Feminino;Branca;Não;Distrito Federal (DF);DF;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Finanças ou Bancos;FALSE;;Outra Opção;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Menos de 1 ano;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido com dias fixos de trabalho presencial;Não utiliza programação;Python;2022
35;35-39;Masculino;Parda;Não;Maranhão (MA);MA;Estudante de Graduação;Química / Física;Somente Estudante (graduação);;;;;;;;;;;;2022
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP;Mestrado;Outras Engenharias;Empregado (CLT);Varejo;FALSE;;Cientista de Dados/Data Scientist;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
;55+;Prefiro não informar;Indígena;Prefiro não informar;;;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Estagiário;Setor Público;FALSE;;Analista de Suporte/Analista Técnico;Júnior;Menos de R$ 1.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
29;25-29;Masculino;Parda;Não;Distrito Federal (DF);DF;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;TRUE;Supervisor/Coordenador;;;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
34;30-34;Masculino;Parda;Não;Paraná (PR);PR;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);Área de Consultoria;FALSE;;Analista de BI/BI Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% remoto;;;2022
33;30-34;Masculino;Parda;Não;Bahia (BA);BA;Doutorado ou Phd;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Entretenimento ou Esportes;FALSE;;Engenheiro de Machine Learning/ML Engineer;Sênior;de R$ 25.001/mês a R$ 30.000/mês;de 4 a 6 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Varejo;FALSE;;Cientista de Dados/Data Scientist;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
25;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Educação;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 1 a 2 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
35;35-39;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;TRUE;Gerente/Head;;;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
37;35-39;Masculino;Branca;Não;Pernambuco (PE);PE;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
25;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS;Mestrado;Ciências Sociais;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;FALSE;;Analista de Dados/Data Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
26;25-29;Masculino;Preta;Sim;Minas Gerais (MG);MG;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Agronegócios;FALSE;;Cientista de Dados/Data Scientist;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
28;25-29;Masculino;Preta;Não;Alagoas (AL);AL;Mestrado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
51;50-54;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Indústria;TRUE;Gerente/Head;;;de R$ 12.001/mês a R$ 16.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
33;30-34;Feminino;Parda;Não;São Paulo (SP);SP;Doutorado ou Phd;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Educação;FALSE;;Professor;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
28;25-29;Masculino;Branca;Não;Paraná (PR);PR;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Outra Opção;FALSE;;Cientista de Dados/Data Scientist;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Outra opção;Empregado (CLT);Setor Automotivo;FALSE;;Analista de Dados/Data Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
26;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
48;45-49;Masculino;Branca;Não;São Paulo (SP);SP;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Indústria;FALSE;;Analista de Suporte/Analista Técnico;Sênior;de R$ 3.001/mês a R$ 4.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;Não utiliza programação;C/C++/C#;2022
36;35-39;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Indústria;FALSE;;Analista de BI/BI Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
25;25-29;Masculino;Parda;Prefiro não informar;Minas Gerais (MG);MG;Estudante de Graduação;Marketing / Publicidade / Comunicação / Jornalismo;Somente Estudante (graduação);;;;;;;;;;;;2022
30;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS;Pós-graduação;Marketing / Publicidade / Comunicação / Jornalismo;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Finanças ou Bancos;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 20.001/mês a R$ 25.000/mês;de 4 a 6 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% remoto;;;2022
25;25-29;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ;Pós-graduação;Outra opção;Desempregado, buscando recolocação;;;;;;;;;;;;2022
30;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS;Pós-graduação;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);Finanças ou Bancos;FALSE;;Product Manager/ Product Owner (PM/APM/DPM/GPM/PO);Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 1 a 2 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
45;45-49;Feminino;Branca;Não;Bahia (BA);BA;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Servidor Público;Educação;FALSE;;Professor;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
29;25-29;Feminino;Parda;Não;Bahia (BA);BA;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;FALSE;;Analista de Dados/Data Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
38;35-39;Masculino;Branca;Não;São Paulo (SP);SP;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Varejo;TRUE;Gerente/Head;;;de R$ 25.001/mês a R$ 30.000/mês;de 4 a 6 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo 100% remoto;;;2022
27;25-29;Masculino;Parda;Não;São Paulo (SP);SP;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Área da Saúde;FALSE;;Outra Opção;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Não tenho experiência na área de dados;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;Não utiliza programação;Python;2022
24;22-24;Masculino;Branca;Não;Paraná (PR);PR;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Setor de Energia;FALSE;;Analista de Dados/Data Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Sim, fui aprovado e mudei de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
39;35-39;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Outra opção;Empregado (CLT);Educação;FALSE;;Analista de Negócios/Business Analyst;Sênior;de R$ 6.001/mês a R$ 8.000/mês;Menos de 1 ano;Sim, fui aprovado e mudei de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
37;35-39;Masculino;Amarela;Não;São Paulo (SP);SP;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;FALSE;;Product Manager/ Product Owner (PM/APM/DPM/GPM/PO);Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
26;25-29;Masculino;Parda;Não;São Paulo (SP);SP;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Outra Opção;FALSE;;Analista de BI/BI Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
31;30-34;Feminino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Química / Física;Empregado (CLT);Tecnologia/Fábrica de Software;TRUE;Supervisor/Coordenador;;;de R$ 16.001/mês a R$ 20.000/mês;de 4 a 6 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
32;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG;Mestrado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);Área de Consultoria;TRUE;Diretor/VP;;;de R$ 30.001/mês a R$ 40.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
29;25-29;Masculino;Branca;Não;Paraná (PR);PR;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
48;45-49;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Outra Opção;TRUE;Supervisor/Coordenador;;;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido com dias fixos de trabalho presencial;;;2022
34;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Outra Opção;TRUE;Supervisor/Coordenador;;;de R$ 6.001/mês a R$ 8.000/mês;Não tenho experiência na área de dados;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Outra Opção;FALSE;;Analista de BI/BI Analyst;Pleno;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
35;35-39;Feminino;Branca;Não;Ceará (CE);CE;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Servidor Público;Setor Público;FALSE;;Economista;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
31;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC;Graduação/Bacharelado;Outra opção;Empregado (CLT);Área de Consultoria;FALSE;;Cientista de Dados/Data Scientist;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% remoto;;;2022
27;25-29;Masculino;Parda;Não;Distrito Federal (DF);DF;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Área de Consultoria;FALSE;;Engenheiro de Machine Learning/ML Engineer;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
28;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;TRUE;Supervisor/Coordenador;;;de R$ 20.001/mês a R$ 25.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo híbrido com dias fixos de trabalho presencial;;;2022
26;25-29;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Agronegócios;FALSE;;Analista de Dados/Data Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
28;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG;Mestrado;Outras Engenharias;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 16.001/mês a R$ 20.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
34;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Freelancer;Internet/Ecommerce;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
52;50-54;Masculino;Branca;Não;Bahia (BA);BA;Pós-graduação;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo 100% remoto;;;2022
38;35-39;Masculino;Branca;Não;Santa Catarina (SC);SC;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;TRUE;Supervisor/Coordenador;;;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
30;30-34;Masculino;Parda;Não;Paraíba (PB);PB;Mestrado;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Trabalho na área Acadêmica/Pesquisador;;;;;;;;;;;;2022
41;40-44;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Outra Opção;TRUE;Gerente/Head;;;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo 100% remoto;;;2022
24;22-24;Masculino;Branca;Não;Rio Grande do Sul (RS);RS;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Indústria;FALSE;;Cientista de Dados/Data Scientist;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
32;30-34;Masculino;Parda;Não;São Paulo (SP);SP;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Indústria;TRUE;Supervisor/Coordenador;;;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP;Não tenho graduação formal;;Empregado (CLT);Área de Consultoria;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
23;22-24;Masculino;Branca;Não;Pernambuco (PE);PE;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outra Opção;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Sim, fui aprovado mas decidi não mudar de emprego;Modelo 100% remoto;;;2022
34;30-34;Masculino;Branca;Não;Paraná (PR);PR;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Outra Opção;Pleno;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
32;30-34;Feminino;Branca;Não;Paraná (PR);PR;Não tenho graduação formal;;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
42;40-44;Masculino;Branca;Não;Distrito Federal (DF);DF;Mestrado;Outra opção;Servidor Público;Setor Público;FALSE;;Analista de Suporte/Analista Técnico;Júnior;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% remoto;Python;Python;2022
24;22-24;Masculino;Parda;Não;Bahia (BA);BA;Pós-graduação;Outras Engenharias;Empregado (CLT);Indústria;FALSE;;Analista de Dados/Data Analyst;Sênior;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
39;35-39;Feminino;Branca;Não;Paraná (PR);PR;Doutorado ou Phd;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Indústria;FALSE;;Analista de Negócios/Business Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido com dias fixos de trabalho presencial;;;2022
25;25-29;Feminino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Analista de BI/BI Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
25;25-29;Feminino;Branca;Não;São Paulo (SP);SP;Prefiro não informar;;Prefiro não informar;Tecnologia/Fábrica de Software;FALSE;;Outra Opção;Pleno;de R$ 1.001/mês a R$ 2.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;SQL;Python;2022
33;30-34;Masculino;Branca;Não;Paraná (PR);PR;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
34;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 25.001/mês a R$ 30.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
36;35-39;Masculino;Parda;Não;Bahia (BA);BA;Doutorado ou Phd;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 20.001/mês a R$ 25.000/mês;de 7 a 10 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
40;40-44;Feminino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);Outra Opção;TRUE;Gerente/Head;;;de R$ 20.001/mês a R$ 25.000/mês;Não tenho experiência na área de dados;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% remoto;;;2022
27;25-29;Masculino;Branca;Sim;Minas Gerais (MG);MG;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Setor Automotivo;FALSE;;Analista de Dados/Data Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido com dias fixos de trabalho presencial;;;2022
27;25-29;Masculino;Branca;Não;Paraná (PR);PR;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;SQL;Python;2022
29;25-29;Feminino;Branca;Não;São Paulo (SP);SP;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;;;;;;;;;2022
30;30-34;Masculino;Parda;Não;Paraíba (PB);PB;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;;;;;;;;;2022
42;40-44;Masculino;Branca;Não;Minas Gerais (MG);MG;Não tenho graduação formal;;Empregado (CLT);Setor Público;FALSE;;Outra Opção;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;Python;Python;2022
23;22-24;Masculino;Branca;Não;São Paulo (SP);SP;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Área de Consultoria;FALSE;;Cientista de Dados/Data Scientist;Júnior;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
27;25-29;Masculino;Parda;Não;São Paulo (SP);SP;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;FALSE;;Engenheiro de Machine Learning/ML Engineer;Júnior;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);SQL;Python;2022
;55+;Masculino;Branca;Não;Pernambuco (PE);PE;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;FALSE;;Outra Opção;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
